Feature,Importance
AwayTeam_Form,488
HomeTeam_Form,301
RollingAvg_Home_HS,81
RollingAvg_Home_HF,73
RollingAvg_Away_AS,69
RollingAvg_Home_FTHG,62
RollingAvg_Away_FTAG,52
RollingAvg_Away_AF,48
HomeTeam,37
AwayTeam,33
RollingAvg_Home_HC,31
RollingAvg_Home_HST,19
RollingAvg_Away_AC,15
RollingAvg_Away_AST,10
