HomeTeam|AwayTeam|RollingAvg_Home_HS|RollingAvg_Home_HST|RollingAvg_Home_HF|RollingAvg_Home_HC|RollingAvg_Away_AS|RollingAvg_Away_AST|RollingAvg_Away_AF|RollingAvg_Away_AC|HomeTeam_Form|AwayTeam_Form|B365H|B365D|B365A|FTR
Udinese|Parma|14.4|5.2|13.2|5.2|9.8|3.2|9.0|6.6|2.0|0.6|1.8|3.6|4.5|H
Monza|Torino|8.4|2.4|14.8|2.8|8.8|4.8|14.2|2.2|0.2|1.6|4.1|3.3|1.95|A
Bologna|Cagliari|17.0|5.4|13.4|4.8|6.0|1.6|15.0|2.0|2.0|0.8|1.57|3.75|6.5|H
Genoa|Empoli|12.4|3.8|11.4|5.4|11.2|3.0|14.2|5.6|1.4|0.2|1.91|3.1|4.75|D
Roma|Como|13.8|4.8|9.0|3.0|10.2|3.2|18.0|2.6|2.6|1.2|1.87|3.6|4.0|H
Milan|Lazio|16.2|5.4|10.6|7.4|14.4|5.6|10.6|6.8|1.4|1.6|2.05|3.6|3.5|A
Juventus|Verona|19.2|7.2|15.6|6.6|10.2|3.0|13.6|4.0|2.4|1.4|1.3|5.0|12.0|H
Cagliari|Genoa|13.0|3.6|12.8|5.0|9.8|2.4|13.0|4.8|0.8|1.0|2.45|3.0|3.2|D
Como|Venezia|12.4|5.8|13.6|4.6|9.4|3.2|13.6|4.0|1.2|0.4|1.57|3.8|6.5|D
Parma|Torino|11.8|4.6|12.4|3.8|7.6|4.0|14.8|2.4|0.6|1.6|3.0|3.25|2.4|D
Lecce|Milan|10.8|2.4|13.2|7.0|15.8|5.8|9.6|6.8|1.0|1.2|4.75|3.6|1.75|A
Inter|Monza|20.0|7.0|12.2|7.4|4.8|1.8|12.6|2.2|1.4|0.2|1.14|7.0|21.0|H
Verona|Bologna|12.2|3.6|15.2|4.8|11.8|4.6|13.2|3.8|1.2|2.0|5.25|3.3|1.75|A
Napoli|Fiorentina|16.8|5.0|8.6|7.8|8.0|2.4|9.8|2.4|0.8|1.2|1.55|4.0|6.25|H
