Feature,Importance
AwayTeam_Form,476
HomeTeam_Form,375
RollingAvg_Home_HC,132
RollingAvg_Home_HF,101
HomeTeam,97
RollingAvg_Away_AC,86
RollingAvg_Home_HS,56
RollingAvg_Home_HST,55
RollingAvg_Home_FTHG,51
AwayTeam,44
RollingAvg_Away_AF,41
RollingAvg_Away_AS,35
RollingAvg_Away_AST,16
RollingAvg_Away_FTAG,0
