Feature,Importance
HomeTeam_Form,467
AwayTeam_Form,414
RollingAvg_Away_FTAG,98
HomeTeam,97
RollingAvg_Home_HST,85
RollingAvg_Home_HC,77
RollingAvg_Away_AF,61
AwayTeam,46
RollingAvg_Away_AST,45
RollingAvg_Away_AS,42
RollingAvg_Home_HF,39
RollingAvg_Home_HS,34
RollingAvg_Home_FTHG,33
RollingAvg_Away_AC,13
