Feature,Importance
AwayTeam_Form,0.24823867
HomeTeam_Form,0.24357551
RollingAvg_FTHG,0.072990224
RollingAvg_FTAG,0.044151165
RollingAvg_HomeHST,0.03916995
RollingAvg_AwayAST,0.038164493
AC,0.037701227
AS,0.03713413
RollingAvg_TotalCorners,0.036806982
HC,0.034707982
RollingAvg_TotalShots,0.03435186
HS,0.029908167
HomeTeam,0.029388199
AwayTeam,0.027807273
AF,0.024572054
HF,0.021332107
