Feature,Importance
HomeTeam_Form,0.35813674
AwayTeam_Form,0.24973536
RollingAvg_Away_AF,0.050144702
RollingAvg_Home_FTHG,0.036574297
RollingAvg_Home_HST,0.033403657
AwayTeam,0.033047874
RollingAvg_Home_HF,0.03178348
RollingAvg_Away_AC,0.03144547
HomeTeam,0.030924752
RollingAvg_Home_HC,0.030746382
RollingAvg_Away_AST,0.029632453
RollingAvg_Away_AS,0.029440874
RollingAvg_Away_FTAG,0.028796818
RollingAvg_Home_HS,0.026187122
