mg_HomeTeam,mg_AwayTeam,Div,Date,Time,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,mg_HS,mg_AS,mg_HF,mg_AF,mg_HC,mg_AC,mg_RollingAvg_FTHG,mg_RollingAvg_FTAG,mg_RollingAvg_TotalShots,mg_RollingAvg_TotalCorners,mg_RollingAvg_HomeHST,mg_RollingAvg_AwayAST,mg_HomeTeam_Form,mg_AwayTeam_Form,mg_HomeWinProb,mg_DrawProb,mg_AwayWinProb
Udinese,Milan,I1,11/04/2025,19:45,0,4,A,0,2,A,14,14,5,7,10,9,5,7,1,1,0,0,4.0,3.6,1.91,14.2,16.6,16.6,8.4,4.6,7.0,1.6,1.6,30.8,11.6,5.2,6.0,0.0,1.0,15.08,45.6,39.32
Venezia,Monza,I1,12/04/2025,14:00,1,0,H,0,0,D,9,10,4,3,20,20,3,4,5,3,1,0,1.73,3.6,5.0,9.8,6.6,16.6,11.2,4.4,3.4,0.2,0.6,16.4,7.800000000000001,2.6,2.2,1.0,0.0,19.16,66.19,14.65
Inter,Cagliari,I1,12/04/2025,17:00,3,1,H,2,0,H,13,8,4,4,6,12,5,6,0,1,0,0,1.33,5.25,8.0,20.2,5.8,10.0,14.4,7.2,2.4,2.2,0.2,26.0,9.6,6.4,1.6,4.0,4.0,28.6,55.61,15.79
Juventus,Lecce,I1,12/04/2025,19:45,2,1,H,2,0,H,22,14,7,3,7,10,9,4,0,1,0,0,1.33,4.5,10.0,16.8,11.0,14.0,12.8,5.4,3.0,1.6,1.0,27.8,8.4,6.6,3.0,4.0,1.0,71.63,23.23,5.14
Atalanta,Bologna,I1,13/04/2025,11:30,2,0,H,2,0,H,4,12,2,5,17,12,4,5,4,1,0,0,1.95,3.5,3.9,15.0,11.6,8.4,14.8,6.4,3.8,0.2,0.8,26.6,10.2,4.0,4.2,0.0,4.0,6.09,11.8,82.11
Fiorentina,Parma,I1,13/04/2025,14:00,0,0,D,0,0,D,9,7,3,3,10,19,2,2,0,5,0,0,1.73,3.8,4.75,9.2,10.8,10.2,10.2,2.2,5.0,1.6,0.8,20.0,7.2,3.8,3.4,4.0,2.0,40.52,53.11,6.37
Verona,Genoa,I1,13/04/2025,14:00,0,0,D,0,0,D,14,4,2,1,19,11,6,2,3,1,0,0,3.0,2.9,2.63,10.8,10.2,14.6,12.8,4.4,5.0,0.4,0.6,21.0,9.4,3.0,2.4,2.0,3.0,13.22,54.16,32.63
Como,Torino,I1,13/04/2025,17:00,1,0,H,1,0,H,15,10,7,4,9,16,7,4,1,3,0,0,1.91,3.5,4.1,13.4,7.8,12.6,16.6,4.8,2.6,1.2,1.6,21.2,7.4,5.2,3.8,4.0,2.0,67.46,27.9,4.64
Lazio,Roma,I1,13/04/2025,19:45,1,1,D,0,0,D,12,9,7,4,12,12,10,5,4,2,0,0,2.8,3.2,2.63,17.2,15.4,9.2,11.8,7.6,7.2,2.0,1.2,32.6,14.8,5.6,6.4,4.0,4.0,20.53,64.58,14.89
