iter	MultiClass
0	1.077412633
1	1.058676264
2	1.040889773
3	1.026109488
4	1.006544863
5	0.9887925012
6	0.9753915683
7	0.9621740906
8	0.9471640376
9	0.9319493441
10	0.9202526912
11	0.9037853884
12	0.8916660839
13	0.8774774115
14	0.86690445
15	0.8562713578
16	0.8460556698
17	0.8347320821
18	0.8267836916
19	0.8164104862
20	0.8101967379
21	0.8003895283
22	0.7917082901
23	0.7811583226
24	0.7740617054
25	0.7647496024
26	0.7570621161
27	0.7492871268
28	0.7445666777
29	0.7382895841
30	0.7305889878
31	0.7238301188
32	0.7174194431
33	0.7098592419
34	0.7003887467
35	0.6934731075
36	0.6840075433
37	0.6773812337
38	0.670750034
39	0.6638222793
40	0.6561048424
41	0.6536863648
42	0.6482290408
43	0.6414599783
44	0.6368073384
45	0.6305026704
46	0.62600417
47	0.6212193915
48	0.6147714917
49	0.6114189138
50	0.6048116673
51	0.5975179261
52	0.5928083412
53	0.5881256261
54	0.5844071653
55	0.5805824418
56	0.5755174074
57	0.5687853398
58	0.564232591
59	0.5591123209
60	0.5537221696
61	0.5486932581
62	0.5436204234
63	0.5390970761
64	0.5363169675
65	0.531068864
66	0.5267502395
67	0.5240354039
68	0.5206536345
69	0.5169516241
70	0.5134234926
71	0.5082851645
72	0.5059101539
73	0.5025279635
74	0.497545243
75	0.4950952101
76	0.4913725781
77	0.4882946385
78	0.4854005951
79	0.4824711164
80	0.4803588593
81	0.4766518093
82	0.4746741604
83	0.4708967299
84	0.467610188
85	0.4642696505
86	0.4618720587
87	0.459512861
88	0.4569527304
89	0.4533384851
90	0.4508701682
91	0.4477994277
92	0.4455262505
93	0.4425410828
94	0.4405012264
95	0.4378626997
96	0.4362055473
97	0.4336956163
98	0.4313676673
99	0.4287841483
100	0.4275314958
101	0.4244750688
102	0.4209620443
103	0.417441099
104	0.4147252523
105	0.4114975838
106	0.4093602061
107	0.4077467496
108	0.4028091883
109	0.4005080173
110	0.39818052
111	0.3956246481
112	0.3929161723
113	0.3901820781
114	0.3881930477
115	0.3851504503
116	0.3821817275
117	0.3803301427
118	0.377858153
119	0.3752144378
120	0.3735665573
121	0.3714583718
122	0.3701058039
123	0.3673812928
124	0.3659677868
125	0.3639022735
126	0.3623980361
127	0.360165636
128	0.3568231182
129	0.3550034819
130	0.3531551002
131	0.3518282397
132	0.3509310674
133	0.3489087891
134	0.3477607624
135	0.3444510885
136	0.3430057491
137	0.341123822
138	0.3395421201
139	0.3357907711
140	0.3339171688
141	0.3319740014
142	0.3306885047
143	0.3284715654
144	0.3271313575
145	0.3250456005
146	0.3235758743
147	0.3223129892
148	0.3200376318
149	0.3182891011
150	0.3163362534
151	0.3147981622
152	0.3131939301
153	0.3118931988
154	0.3105987792
155	0.3089978256
